Date,City,PM2.5,PM10,NO2,O3,SO2,CO,Temperature,Humidity,Wind_Speed
2024-01-02T02:00,Delhi,81.3,116.9,23.8,69.0,28.4,1135.0,7.9,93.0,5.3
2024-01-02T03:00,Delhi,77.8,112.5,21.9,83.0,31.1,1077.0,8.8,90.0,5.5
2024-01-02T04:00,Delhi,77.5,112.0,21.4,94.0,35.0,1035.0,10.0,82.0,4.0
2024-01-02T05:00,Delhi,75.7,110.1,21.5,106.0,39.6,999.0,11.2,73.0,1.1
2024-01-02T06:00,Delhi,74.5,108.7,21.6,120.0,43.9,967.0,12.3,69.0,1.1
2024-01-02T07:00,Delhi,74.0,108.3,20.0,145.0,47.8,924.0,13.5,66.0,2.2
2024-01-02T08:00,Delhi,72.4,106.2,18.4,172.0,51.4,885.0,14.6,63.0,3.3
2024-01-02T09:00,Delhi,71.2,105.0,20.9,184.0,53.8,896.0,15.2,63.0,4.0
2024-01-02T10:00,Delhi,71.5,105.2,30.2,169.0,53.1,957.0,15.3,64.0,5.6
2024-01-02T11:00,Delhi,72.4,106.4,43.5,138.0,51.2,1069.0,14.7,66.0,6.8
2024-01-02T12:00,Delhi,89.9,131.3,58.7,107.0,54.4,1275.0,11.6,82.0,7.9
2024-01-02T13:00,Delhi,120.1,174.2,73.5,80.0,70.2,1762.0,9.6,90.0,6.4
2024-01-02T14:00,Delhi,144.8,209.5,93.7,43.0,91.6,2430.0,8.8,92.0,6.9
2024-01-02T15:00,Delhi,158.3,229.1,106.5,16.0,104.6,2899.0,7.9,93.0,6.6
2024-01-02T16:00,Delhi,163.4,236.6,105.9,8.0,102.4,2996.0,6.8,95.0,8.2
2024-01-02T17:00,Delhi,161.6,233.3,97.8,11.0,91.7,2895.0,6.5,95.0,7.2
2024-01-02T18:00,Delhi,151.8,218.9,88.0,14.0,79.2,2740.0,6.3,96.0,6.5
2024-01-02T19:00,Delhi,140.2,201.2,76.9,16.0,65.1,2542.0,6.0,96.0,6.1
2024-01-02T20:00,Delhi,131.8,189.5,63.9,19.0,49.1,2291.0,5.1,99.0,6.9
2024-01-02T21:00,Delhi,126.7,181.6,53.0,22.0,37.1,2098.0,4.8,100.0,7.8
2024-01-02T22:00,Delhi,124.3,177.9,45.4,24.0,31.8,1996.0,5.2,100.0,6.8
2024-01-02T23:00,Delhi,124.8,179.3,39.9,27.0,30.5,1952.0,5.7,100.0,5.4
2024-01-03T00:00,Delhi,120.6,172.8,30.3,38.0,23.5,1737.0,5.2,100.0,2.6
2024-01-03T01:00,Delhi,119.7,171.4,31.2,39.0,25.7,1752.0,6.2,99.0,4.2
2024-01-03T02:00,Delhi,120.6,172.8,32.5,43.0,29.1,1767.0,6.7,100.0,3.8
2024-01-03T03:00,Delhi,121.5,174.6,33.2,54.0,33.7,1747.0,7.7,98.0,3.1
2024-01-03T04:00,Delhi,119.7,171.8,33.3,78.0,40.1,1667.0,8.9,98.0,3.6
2024-01-03T05:00,Delhi,122.5,176.0,32.8,110.0,47.8,1552.0,10.2,92.0,3.1
2024-01-03T06:00,Delhi,108.3,156.5,31.4,144.0,54.7,1432.0,12.7,81.0,2.9
2024-01-03T07:00,Delhi,89.4,131.8,26.6,185.0,60.5,1285.0,14.7,69.0,0.8
2024-01-03T08:00,Delhi,88.7,131.3,20.7,228.0,65.7,1135.0,15.5,66.0,4.2
2024-01-03T09:00,Delhi,88.0,131.3,20.9,249.0,69.2,1081.0,15.9,65.0,6.8
2024-01-03T10:00,Delhi,88.2,131.8,31.9,232.0,70.3,1182.0,15.8,66.0,7.1
2024-01-03T11:00,Delhi,89.6,134.1,48.9,193.0,69.7,1380.0,15.2,68.0,7.0
2024-01-03T12:00,Delhi,103.1,153.2,58.7,118.0,55.5,1437.0,12.4,83.0,8.2
2024-01-03T13:00,Delhi,124.3,183.5,65.9,94.0,57.9,1646.0,11.6,81.0,10.4
2024-01-03T14:00,Delhi,131.8,193.2,75.7,61.0,61.3,1936.0,10.2,87.0,8.7
2024-01-03T15:00,Delhi,135.5,197.9,81.9,35.0,63.8,2166.0,9.1,93.0,6.8
2024-01-03T16:00,Delhi,138.8,202.1,81.7,25.0,65.8,2290.0,8.3,94.0,5.3
2024-01-03T17:00,Delhi,143.0,207.2,77.9,22.0,67.0,2355.0,7.6,96.0,5.4
2024-01-03T18:00,Delhi,143.4,207.2,72.5,21.0,64.8,2358.0,7.6,96.0,5.2
2024-01-03T19:00,Delhi,136.0,197.0,65.5,21.0,56.3,2272.0,7.3,96.0,5.5
2024-01-03T20:00,Delhi,129.0,186.7,56.9,22.0,44.4,2124.0,6.6,97.0,6.6
2024-01-03T21:00,Delhi,122.5,177.0,48.6,25.0,34.6,1992.0,6.2,97.0,6.2
2024-01-03T22:00,Delhi,116.6,168.1,40.1,29.0,29.0,1884.0,5.8,99.0,5.4
2024-01-03T23:00,Delhi,112.0,161.1,32.0,34.0,25.5,1791.0,5.4,100.0,4.6
2024-01-04T00:00,Delhi,111.1,159.7,26.2,35.0,27.3,1790.0,5.2,100.0,4.2
2024-01-04T01:00,Delhi,113.9,163.4,29.0,30.0,28.8,1912.0,8.8,90.0,5.8
2024-01-04T02:00,Delhi,119.7,171.8,32.6,26.0,31.0,2074.0,9.0,89.0,5.0
2024-01-04T03:00,Delhi,122.5,176.0,34.0,32.0,32.7,2148.0,9.8,86.0,6.2
2024-01-04T04:00,Delhi,121.5,174.6,31.0,59.0,33.0,2062.0,11.6,80.0,7.2
2024-01-04T05:00,Delhi,117.8,170.0,25.7,98.0,32.9,1889.0,13.7,73.0,7.3
2024-01-04T06:00,Delhi,111.1,160.7,21.3,131.0,34.1,1714.0,15.4,68.0,7.4
2024-01-04T07:00,Delhi,101.3,148.5,17.5,157.0,37.9,1538.0,16.7,64.0,3.4
2024-01-04T08:00,Delhi,95.5,140.6,14.7,179.0,43.0,1361.0,17.6,60.0,2.9
2024-01-04T09:00,Delhi,89.6,132.7,17.0,185.0,47.1,1268.0,17.8,58.0,3.3
2024-01-04T10:00,Delhi,90.3,133.6,28.3,167.0,48.9,1299.0,17.9,57.0,3.3
2024-01-04T11:00,Delhi,88.7,131.3,44.7,135.0,49.8,1413.0,17.6,58.0,4.9
2024-01-04T12:00,Delhi,111.3,164.4,55.0,85.0,46.4,1348.0,15.8,67.0,7.7
2024-01-04T13:00,Delhi,127.6,187.7,58.9,73.0,48.6,1480.0,13.7,80.0,8.3
2024-01-04T14:00,Delhi,132.2,194.2,64.0,55.0,51.7,1664.0,13.1,82.0,9.3
2024-01-04T15:00,Delhi,136.4,199.8,66.7,42.0,53.6,1812.0,12.5,85.0,10.2
2024-01-04T16:00,Delhi,139.7,203.0,65.3,36.0,54.3,1896.0,10.8,93.0,9.3
2024-01-04T17:00,Delhi,145.8,210.9,61.3,34.0,53.8,1944.0,9.8,95.0,7.4
2024-01-04T18:00,Delhi,148.1,213.7,56.0,33.0,51.0,1953.0,8.9,97.0,6.0
2024-01-04T19:00,Delhi,142.5,205.8,48.7,34.0,44.0,1905.0,8.6,97.0,5.9
2024-01-04T20:00,Delhi,137.4,197.9,40.1,37.0,34.5,1819.0,8.4,98.0,5.3
2024-01-04T21:00,Delhi,131.8,190.0,32.6,39.0,26.9,1744.0,8.5,98.0,5.2
2024-01-04T22:00,Delhi,126.7,182.1,26.6,41.0,22.5,1687.0,9.2,97.0,6.3
2024-01-04T23:00,Delhi,121.5,175.1,21.8,42.0,19.8,1642.0,9.7,95.0,7.9
2024-01-05T00:00,Delhi,121.5,174.6,16.7,47.0,16.5,1604.0,9.2,97.0,6.6
2024-01-05T01:00,Delhi,120.1,172.8,21.4,41.0,19.2,1683.0,10.5,92.0,6.1
2024-01-05T02:00,Delhi,120.6,173.7,27.8,33.0,23.1,1791.0,10.5,93.0,5.2
2024-01-05T03:00,Delhi,122.9,176.5,31.9,38.0,26.4,1864.0,11.0,90.0,4.4
2024-01-05T04:00,Delhi,123.9,178.3,31.6,66.0,28.3,1904.0,11.8,87.0,4.0
2024-01-05T05:00,Delhi,125.7,181.1,28.9,106.0,29.7,1909.0,12.9,82.0,4.4
2024-01-05T06:00,Delhi,124.3,179.7,26.3,136.0,31.7,1805.0,14.9,75.0,4.0
2024-01-05T07:00,Delhi,102.7,150.4,22.9,148.0,35.1,1479.0,16.6,67.0,3.6
2024-01-05T08:00,Delhi,74.0,111.3,19.5,150.0,39.2,1045.0,16.8,65.0,4.8
2024-01-05T09:00,Delhi,68.0,103.6,20.9,143.0,42.4,765.0,17.0,63.0,3.4
2024-01-05T10:00,Delhi,67.5,103.1,31.5,124.0,44.0,778.0,17.3,61.0,2.6
2024-01-05T11:00,Delhi,66.8,102.0,47.0,97.0,44.7,947.0,17.1,60.0,5.0
2024-01-05T12:00,Delhi,109.4,164.4,74.5,70.0,54.2,1334.0,16.1,65.0,6.1
2024-01-05T13:00,Delhi,119.0,177.4,74.6,60.0,56.2,1435.0,11.2,90.0,6.6
2024-01-05T14:00,Delhi,122.9,182.1,74.4,46.0,58.7,1572.0,10.5,92.0,7.6
2024-01-05T15:00,Delhi,125.3,185.3,72.4,36.0,59.2,1660.0,9.7,94.0,6.8
2024-01-05T16:00,Delhi,126.7,186.7,67.5,32.0,56.5,1654.0,9.1,95.0,6.6
2024-01-05T17:00,Delhi,125.7,185.3,60.7,32.0,51.9,1598.0,8.4,96.0,7.3
2024-01-05T18:00,Delhi,122.9,180.7,53.6,32.0,46.3,1543.0,7.3,97.0,9.7
2024-01-05T19:00,Delhi,117.6,172.8,46.1,33.0,39.4,1497.0,7.3,97.0,9.0
2024-01-05T20:00,Delhi,114.8,168.1,38.3,35.0,31.5,1451.0,7.6,98.0,6.6
2024-01-05T21:00,Delhi,112.9,164.4,31.7,37.0,25.4,1429.0,6.6,99.0,7.1
2024-01-05T22:00,Delhi,111.5,161.6,26.2,38.0,21.8,1434.0,6.3,100.0,5.7
2024-01-05T23:00,Delhi,109.9,158.8,21.9,39.0,20.0,1464.0,6.6,100.0,4.7
2024-01-06T00:00,Delhi,106.9,154.6,12.0,68.0,16.7,1440.0,7.2,100.0,4.6
2024-01-06T01:00,Delhi,105.9,152.7,16.9,63.0,19.1,1576.0,9.2,96.0,6.2
2024-01-06T02:00,Delhi,108.5,156.5,23.4,57.0,22.6,1755.0,9.6,95.0,6.2
2024-01-06T03:00,Delhi,113.2,163.4,27.2,61.0,26.3,1835.0,10.8,90.0,4.2
2024-01-06T04:00,Delhi,117.6,170.0,25.4,84.0,30.4,1727.0,12.3,84.0,5.8
2024-01-06T05:00,Delhi,117.6,170.9,20.8,117.0,34.9,1519.0,13.6,77.0,7.4
2024-01-06T06:00,Delhi,97.1,143.9,17.1,146.0,38.4,1333.0,14.9,67.0,7.3
2024-01-06T07:00,Delhi,87.8,131.3,13.9,169.0,40.3,1182.0,15.7,62.0,7.3
2024-01-06T08:00,Delhi,83.6,125.3,11.6,187.0,41.4,1052.0,16.3,59.0,5.6
2024-01-06T09:00,Delhi,83.1,124.3,14.5,191.0,42.6,1022.0,16.8,58.0,4.3
2024-01-06T10:00,Delhi,84.5,126.2,26.9,171.0,43.8,1137.0,16.9,58.0,4.3
2024-01-06T11:00,Delhi,87.8,130.4,44.7,136.0,45.2,1351.0,16.6,59.0,3.9
2024-01-06T12:00,Delhi,107.3,157.9,62.6,73.0,44.4,1533.0,13.7,75.0,6.1
2024-01-06T13:00,Delhi,132.7,194.2,66.1,62.0,53.7,1862.0,12.5,79.0,4.0
2024-01-06T14:00,Delhi,145.8,211.9,70.6,47.0,66.1,2309.0,12.8,79.0,4.0
2024-01-06T15:00,Delhi,151.8,220.3,72.3,36.0,72.4,2588.0,12.7,78.0,6.2
2024-01-06T16:00,Delhi,150.9,218.9,69.5,33.0,67.4,2550.0,12.2,79.0,6.1
2024-01-06T17:00,Delhi,147.6,213.7,63.9,34.0,56.3,2343.0,11.0,84.0,5.0
2024-01-06T18:00,Delhi,139.7,201.6,56.4,37.0,45.5,2132.0,11.0,84.0,6.9
2024-01-06T19:00,Delhi,128.5,185.3,45.8,41.0,36.5,1953.0,10.7,85.0,6.4
2024-01-06T20:00,Delhi,120.1,173.2,33.4,47.0,27.8,1768.0,10.2,86.0,5.5
2024-01-06T21:00,Delhi,114.1,164.8,24.0,50.0,21.7,1633.0,9.8,88.0,5.2
2024-01-06T22:00,Delhi,109.9,158.3,19.2,48.0,19.2,1563.0,9.1,93.0,6.4
2024-01-06T23:00,Delhi,106.6,153.7,17.4,45.0,19.2,1541.0,9.0,93.0,6.5
2024-01-07T00:00,Delhi,128.1,184.9,27.3,35.0,24.2,1951.0,9.4,93.0,5.6
2024-01-07T01:00,Delhi,128.1,184.4,30.6,30.0,26.5,2043.0,6.2,96.0,6.5
2024-01-07T02:00,Delhi,133.6,192.8,35.0,25.0,29.7,2163.0,6.1,95.0,5.4
2024-01-07T03:00,Delhi,138.8,199.8,36.8,35.0,33.0,2210.0,8.6,89.0,6.1
2024-01-07T04:00,Delhi,141.6,203.5,33.6,75.0,35.6,2135.0,11.5,80.0,3.4
2024-01-07T05:00,Delhi,143.0,205.8,27.9,130.0,38.1,1987.0,13.7,72.0,3.3
2024-01-07T06:00,Delhi,134.1,194.6,23.1,175.0,41.7,1810.0,15.2,66.0,2.9
2024-01-07T07:00,Delhi,113.4,165.8,18.2,204.0,46.8,1557.0,16.2,62.0,4.1
2024-01-07T08:00,Delhi,97.6,143.4,14.3,222.0,52.8,1274.0,16.9,60.0,4.7
2024-01-07T09:00,Delhi,91.3,134.6,18.2,226.0,59.3,1146.0,17.4,58.0,4.2
2024-01-07T10:00,Delhi,90.1,133.2,35.1,210.0,65.2,1245.0,17.5,58.0,3.4
2024-01-07T11:00,Delhi,92.7,136.9,60.0,179.0,71.4,1499.0,17.1,59.0,2.2
2024-01-07T12:00,Delhi,128.5,189.5,80.0,96.0,62.9,1681.0,16.4,61.0,2.6
2024-01-07T13:00,Delhi,161.6,237.0,97.0,72.0,84.0,2284.0,11.1,82.0,4.3
2024-01-07T14:00,Delhi,191.4,279.4,120.0,38.0,112.4,3107.0,9.7,89.0,5.2
2024-01-07T15:00,Delhi,211.9,309.2,133.2,14.0,128.8,3656.0,9.1,91.0,6.1
2024-01-07T16:00,Delhi,213.3,310.1,128.4,9.0,122.6,3691.0,8.6,92.0,7.1
2024-01-07T17:00,Delhi,204.0,296.2,113.8,14.0,104.4,3452.0,8.1,93.0,6.9
2024-01-07T18:00,Delhi,190.0,274.7,98.7,19.0,86.0,3167.0,7.6,93.0,6.2
2024-01-07T19:00,Delhi,171.8,248.7,84.9,22.0,69.8,2869.0,6.8,95.0,6.8
2024-01-07T20:00,Delhi,158.3,229.1,70.6,25.0,53.5,2526.0,6.6,95.0,6.9
2024-01-07T21:00,Delhi,149.0,215.1,59.0,27.0,41.8,2262.0,6.8,95.0,6.6
2024-01-07T22:00,Delhi,142.5,206.3,50.4,28.0,37.0,2109.0,6.3,96.0,7.9
2024-01-07T23:00,Delhi,138.3,200.2,44.6,28.0,36.8,2036.0,6.0,97.0,7.9
2024-01-08T00:00,Delhi,151.3,218.4,53.0,25.0,44.0,2262.0,5.5,98.0,8.9
2024-01-08T01:00,Delhi,144.4,208.6,50.8,19.0,42.2,2293.0,6.0,98.0,8.0
2024-01-08T02:00,Delhi,143.9,207.2,47.6,14.0,40.0,2329.0,6.4,98.0,7.5
2024-01-08T03:00,Delhi,145.8,210.0,43.8,26.0,39.6,2302.0,8.4,98.0,5.0
2024-01-08T04:00,Delhi,147.1,212.8,38.8,71.0,41.5,2175.0,10.8,94.0,4.4
2024-01-08T05:00,Delhi,147.6,213.7,33.2,134.0,45.3,1985.0,13.5,85.0,4.1
2024-01-08T06:00,Delhi,138.8,202.6,28.8,185.0,51.8,1777.0,15.8,72.0,3.6
2024-01-08T07:00,Delhi,129.0,191.4,23.6,215.0,62.6,1500.0,17.0,67.0,3.7
2024-01-08T08:00,Delhi,113.9,170.4,19.5,233.0,76.0,1205.0,17.9,64.0,3.2
2024-01-08T09:00,Delhi,104.5,157.4,24.8,235.0,88.0,1084.0,18.4,63.0,3.1
2024-01-08T10:00,Delhi,102.4,154.1,45.6,214.0,95.0,1218.0,18.4,63.0,2.7
2024-01-08T11:00,Delhi,105.7,158.8,75.7,177.0,100.6,1527.0,18.0,64.0,2.5
2024-01-08T12:00,Delhi,135.0,199.8,68.3,95.0,66.0,1574.0,16.5,71.0,4.7
2024-01-08T13:00,Delhi,166.2,244.9,80.8,71.0,80.8,2066.0,11.5,88.0,8.6
2024-01-08T14:00,Delhi,190.9,280.3,97.7,39.0,100.8,2739.0,10.7,91.0,8.4
2024-01-08T15:00,Delhi,202.6,297.1,107.6,16.0,112.5,3193.0,9.5,94.0,8.7
2024-01-08T16:00,Delhi,203.5,298.0,105.0,10.0,109.2,3246.0,8.8,96.0,8.4
2024-01-08T17:00,Delhi,199.8,290.6,95.4,14.0,97.5,3081.0,8.2,97.0,8.2
2024-01-08T18:00,Delhi,187.7,272.9,84.3,19.0,84.0,2849.0,7.8,98.0,6.4
2024-01-08T19:00,Delhi,169.5,246.8,72.5,23.0,68.9,2560.0,7.3,99.0,6.2
2024-01-08T20:00,Delhi,156.0,226.8,59.2,29.0,52.0,2205.0,6.9,100.0,6.6
2024-01-08T21:00,Delhi,144.8,210.5,46.7,35.0,38.6,1909.0,6.9,100.0,6.3
2024-01-08T22:00,Delhi,134.1,195.1,34.3,44.0,31.0,1704.0,7.2,98.0,7.4
2024-01-08T23:00,Delhi,124.8,181.1,22.7,54.0,27.0,1559.0,6.7,98.0,6.0
2024-01-09T00:00,Delhi,123.4,179.3,16.5,52.0,25.8,1397.0,6.2,98.0,7.2
2024-01-09T01:00,Delhi,121.1,176.0,22.7,44.0,28.8,1518.0,7.2,98.0,5.1
2024-01-09T02:00,Delhi,126.2,183.0,31.0,35.0,32.9,1677.0,6.8,99.0,4.5
2024-01-09T03:00,Delhi,129.5,188.6,35.3,38.0,35.1,1735.0,8.5,93.0,5.8
2024-01-09T04:00,Delhi,128.1,186.7,32.0,66.0,34.0,1609.0,10.9,86.0,4.2
2024-01-09T05:00,Delhi,118.5,173.2,24.8,107.0,31.1,1383.0,13.8,76.0,5.8
2024-01-09T06:00,Delhi,105.9,156.0,18.4,139.0,27.9,1172.0,15.9,71.0,11.4
2024-01-09T07:00,Delhi,101.5,149.9,13.4,154.0,24.2,995.0,17.0,68.0,13.2
2024-01-09T08:00,Delhi,87.5,129.9,9.2,159.0,20.1,832.0,17.7,65.0,13.9
2024-01-09T09:00,Delhi,74.7,111.1,9.3,155.0,17.7,740.0,18.0,63.0,13.0
2024-01-09T10:00,Delhi,69.4,103.1,16.9,137.0,18.2,762.0,18.0,62.0,11.8
2024-01-09T11:00,Delhi,67.1,99.7,28.6,110.0,20.5,855.0,17.4,66.0,12.1
2024-01-09T12:00,Delhi,54.8,79.9,33.3,84.0,20.7,855.0,15.3,77.0,9.8
2024-01-09T13:00,Delhi,64.3,93.1,39.1,70.0,24.5,952.0,10.7,88.0,10.8
2024-01-09T14:00,Delhi,70.1,101.7,46.9,51.0,29.7,1083.0,9.6,92.0,9.6
2024-01-09T15:00,Delhi,73.3,106.9,50.6,37.0,32.3,1162.0,8.8,93.0,10.9
2024-01-09T16:00,Delhi,74.3,108.3,46.8,34.0,30.2,1140.0,8.0,94.0,11.2
2024-01-09T17:00,Delhi,75.4,110.4,38.9,36.0,25.6,1066.0,7.3,95.0,11.0
2024-01-09T18:00,Delhi,75.7,110.8,31.3,40.0,21.3,999.0,6.7,95.0,10.1
2024-01-09T19:00,Delhi,73.8,107.3,25.0,44.0,18.0,955.0,6.2,95.0,12.1
2024-01-09T20:00,Delhi,73.8,107.1,19.0,49.0,15.1,918.0,5.8,95.0,13.2
2024-01-09T21:00,Delhi,74.5,107.8,14.5,53.0,13.2,903.0,5.3,95.0,12.9
2024-01-09T22:00,Delhi,75.2,109.0,11.7,55.0,12.6,908.0,4.9,95.0,12.2
2024-01-09T23:00,Delhi,76.1,109.9,10.4,55.0,13.0,934.0,4.7,95.0,11.9
2024-01-10T00:00,Delhi,78.7,113.2,9.3,63.0,12.7,978.0,4.6,95.0,13.1
2024-01-10T01:00,Delhi,79.2,114.1,12.5,59.0,15.9,1013.0,5.3,97.0,13.9
2024-01-10T02:00,Delhi,81.3,116.9,16.9,55.0,20.4,1060.0,5.4,96.0,14.8
2024-01-10T03:00,Delhi,82.7,119.0,19.7,57.0,24.3,1089.0,6.6,90.0,15.0
2024-01-10T04:00,Delhi,82.2,118.0,19.4,71.0,27.1,1088.0,8.5,83.0,14.8
2024-01-10T05:00,Delhi,81.0,116.9,17.5,92.0,29.3,1070.0,10.4,78.0,14.2
2024-01-10T06:00,Delhi,81.3,117.3,15.6,111.0,30.5,1038.0,12.2,73.0,13.4
2024-01-10T07:00,Delhi,79.4,114.6,13.6,127.0,30.2,982.0,13.8,69.0,14.1
2024-01-10T08:00,Delhi,75.2,109.0,11.6,141.0,28.8,914.0,15.0,64.0,14.5
2024-01-10T09:00,Delhi,70.5,102.0,12.1,145.0,27.2,870.0,15.7,62.0,14.3
2024-01-10T10:00,Delhi,65.2,94.8,17.3,133.0,25.2,870.0,15.8,62.0,14.1
2024-01-10T11:00,Delhi,61.7,89.4,24.9,110.0,22.9,894.0,15.2,65.0,13.5
2024-01-10T12:00,Delhi,92.0,134.6,40.8,80.0,27.3,1027.0,13.3,75.0,11.2
2024-01-10T13:00,Delhi,94.5,137.4,41.0,73.0,26.8,1063.0,10.1,87.0,11.3
2024-01-10T14:00,Delhi,93.8,136.0,41.1,63.0,26.1,1113.0,9.6,89.0,12.9
2024-01-10T15:00,Delhi,92.4,134.1,40.5,55.0,25.6,1155.0,9.1,91.0,12.9
2024-01-10T16:00,Delhi,92.0,133.2,38.8,51.0,25.9,1187.0,8.5,92.0,11.9
2024-01-10T17:00,Delhi,93.6,135.5,36.4,49.0,26.4,1211.0,7.9,92.0,9.8
2024-01-10T18:00,Delhi,94.3,136.4,33.2,48.0,26.0,1213.0,7.2,93.0,8.3
2024-01-10T19:00,Delhi,91.7,132.2,28.9,48.0,23.6,1178.0,6.8,94.0,9.1
2024-01-10T20:00,Delhi,89.4,128.5,23.8,48.0,20.3,1121.0,6.5,94.0,10.1
2024-01-10T21:00,Delhi,87.3,125.3,19.6,49.0,17.9,1070.0,6.2,94.0,11.2
2024-01-10T22:00,Delhi,85.7,122.9,15.9,51.0,16.9,1018.0,6.0,95.0,11.9
2024-01-10T23:00,Delhi,84.8,122.0,13.0,54.0,16.7,972.0,5.8,95.0,11.9
2024-01-11T00:00,Delhi,92.0,132.2,11.5,63.0,17.7,1018.0,5.6,95.0,10.8
2024-01-11T01:00,Delhi,95.2,136.9,14.3,65.0,20.2,1084.0,6.2,100.0,10.4
2024-01-11T02:00,Delhi,102.4,147.6,18.1,70.0,23.7,1175.0,6.5,99.0,11.3
2024-01-11T03:00,Delhi,107.6,156.5,20.3,79.0,26.9,1231.0,6.9,99.0,12.0
2024-01-11T04:00,Delhi,104.1,152.7,19.4,97.0,29.5,1225.0,7.5,97.0,11.5
2024-01-11T05:00,Delhi,100.6,148.5,16.9,121.0,31.9,1186.0,9.2,88.0,9.7
2024-01-11T06:00,Delhi,99.2,147.1,14.8,142.0,33.6,1141.0,11.3,79.0,9.4
2024-01-11T07:00,Delhi,98.5,146.2,12.6,162.0,34.3,1082.0,13.2,74.0,9.2
2024-01-11T08:00,Delhi,91.0,136.0,10.7,179.0,34.4,1018.0,14.5,70.0,9.7
2024-01-11T09:00,Delhi,86.8,130.4,13.1,182.0,34.6,1005.0,15.3,68.0,10.2
2024-01-11T10:00,Delhi,84.8,127.1,23.3,163.0,35.2,1079.0,15.5,67.0,11.4
2024-01-11T11:00,Delhi,84.8,126.7,37.6,130.0,36.0,1204.0,14.9,69.0,11.5
2024-01-11T12:00,Delhi,103.1,152.7,50.6,105.0,37.2,1339.0,12.7,81.0,7.9
2024-01-11T13:00,Delhi,106.9,157.9,51.5,93.0,37.6,1396.0,11.0,85.0,9.6
2024-01-11T14:00,Delhi,107.6,158.3,52.5,76.0,38.0,1474.0,10.0,89.0,9.2
2024-01-11T15:00,Delhi,108.0,158.3,51.5,63.0,37.6,1528.0,9.2,91.0,8.4
2024-01-11T16:00,Delhi,108.3,158.3,47.2,58.0,36.0,1541.0,8.3,93.0,7.6
2024-01-11T17:00,Delhi,109.0,158.8,40.8,57.0,33.6,1529.0,7.7,94.0,7.4
2024-01-11T18:00,Delhi,106.9,155.1,34.1,58.0,30.6,1495.0,7.4,95.0,8.2
2024-01-11T19:00,Delhi,100.8,145.3,26.9,61.0,26.3,1428.0,7.5,94.0,11.1
2024-01-11T20:00,Delhi,96.6,138.8,19.4,65.0,21.3,1339.0,7.2,94.0,9.5
2024-01-11T21:00,Delhi,93.4,134.1,13.9,68.0,17.8,1269.0,6.8,95.0,9.4
2024-01-11T22:00,Delhi,90.8,130.4,10.8,68.0,16.4,1221.0,6.5,96.0,10.4
